10 51 32 +27 56 24 A162 10.8m NGC 3414
12 45 32 +27 05 22 A163 12.7m NGC 4670
01 16 13 +05 11 35 A164 12.6m NGC 0455
07 36 54 +17 52 19 A165 12.2m NGC 2418
01 57 50 +33 13 27 A166 12.9m NGC 0750
08 49 39 +19 02 53 A167 11.6m NGC 2672
00 42 57 +40 52 38 A168 9.0 m MESSIER 32
22 15 00 +13 51 30 A169 13.0m NGC 7236
23 17 26 +18 43 38 A170 13.8m NGC 7578A
14 40 58 +03 25 43 A171 12.9m NGC 5718
16 05 47 +17 35 12 A172 15.2m IC 1178
14 51 41 +09 17 47 A173 14.9m UGC 09561
09 58 57 +28 50 34 A174 14.3m NGC 3068
12 33 07 +11 22 21 A175 13.3m IC 3481
13 04 10 -11 31 36 A176 11.7m NGC 4933A
14 56 01 +24 33 48 A177 17.3m MCG+04-35-017
14 24 20 +34 49 39 A178 11.7m NGC 5614
03 01 55 -04 38 50 A179 16.6m NPM1G -04.0134
04 53 37 -04 47 31 A180 14.8m MCG-01-13-034
10 29 11 +79 46 28 A181 13.0m NGC 3215
23 28 11 +08 47 39 A182 13.2m NGC 7674
13 35 09 +31 21 28 A183 14.6m UGC 08560
05 42 37 +69 22 08 A184 11.0m NGC 1961
16 32 26 +78 10 23 A185 11.2m NGC 6217
04 34 13 -08 33 23 A186 13.6m NGC 1614
05 05 07 -10 13 36 A187 15.0m MCG-02-13-040A
16 06 10 +55 24 12 A188 14.4m UGC 10214
12 43 57 +16 21 22 A189 10.8m NGC 4651
02 50 35 +12 54 14 A190 15.2m UGC 02320
11 07 35 +18 23 22 A191 14.6m UGC 06175
10 37 15 +18 06 26 A192 14.3m NGC 3303
13 20 49 +34 06 26 A193 14.4m IC 0883
11 58 07 +36 21 20 A194 14.9m UGC 06945
08 54 09 +35 06 51 A195 14.5m UGC 04653
13 14 51 +26 05 25 A196 16.0m ARP 196
11 31 16 +20 26 21 A197 14.6m IC 0701
11 00 01 +17 36 23 A198 15.3m UGC 06073
14 17 15 +36 32 37 A199 13.4m NGC 5544
02 53 57 +13 01 13 A200 12.1m NGC 1134
00 23 52 -00 28 20 A201 16.0m UGC 00224
09 00 34 +35 41 49 A202 13.1m NGC 2719
11 31 25 +28 32 21 A203 13.9m NGC 3712
13 22 40 +84 28 26 A204 16.0m UGC 08454
10 54 57 +54 16 24 A205 12.0m NGC 3448
10 52 48 +36 35 24 A206 11.3m NGC 3432
09 31 38 +76 25 40 A207 15.4m UGC 05050
16 51 10 +47 12 30 A208 14.8m MCG+08-31-010
16 05 25 +20 31 12 A209 13.0m NGC 6052
04 31 18 +64 50 38 A210 11.0m NGC 1569
12 37 34 +38 41 21 A211 16.0m MCG+07-26-034
23 20 45 +17 14 39 A212 12.1m NGC 7625
04 08 18 +69 48 47 A213 10.5m IC 0356
11 32 51 +53 01 21 A214 10.7m NGC 3718
09 14 24 +40 04 45 A215 11.7m NGC 2782
23 29 01 +03 31 39 A216 12.9m NGC 7679
10 39 05 +53 28 26 A217 10.8m NGC 3310
15 53 45 +18 35 07 A218 15.4m CGCG 107-052
03 40 06 -02 05 02 A219 14.9m UGC 02812
15 35 10 +23 29 01 A220 13.1m IC 4553
09 36 42 -11 20 21 A221 14.0m MCG-02-25-006
23 40 10 -12 15 20 A222 10.6m NGC 7727
23 18 17 -04 36 21 A223 11.4m NGC 7585
11 51 22 +55 02 20 A224 12.4m NGC 3921
08 56 16 +78 11 51 A225 10.1m NGC 2655
22 21 01 -24 38 29 A226 11.4m NGC 7252
01 20 22 +03 26 34 A227 11.5m NGC 0474
01 49 09 +10 32 29 A228 13.7m IC 0162
01 23 57 +33 17 34 A229 13.5m NGC 0508
00 46 39 -13 24 22 A230 13.0m IC 0051
00 43 48 -04 05 22 A231 14.5m IC 1575
09 34 02 +10 07 40 A232 11.5m NGC 2911
10 32 51 +54 22 27 A233 13.4m UGC 05720
11 36 04 +54 29 20 A234 11.9m NGC 3738
00 09 01 +15 49 40 A235 12.7m NGC 0014
01 08 02 -17 28 24 A236 14.3m IC 1623A
09 27 59 +12 15 41 A237 15.3m UGC 05044
13 15 40 +62 05 25 A238 15.0m UGC 08335
13 41 50 +55 38 29 A239 12.7m NGC 5278
13 40 08 +00 48 29 A240 12.9m NGC 5257
14 38 03 +30 26 43 A241 15.0m UGC 09425
12 46 25 +30 41 22 A242 13.0m NGC 4676A
08 38 41 +25 43 56 A243 13.4m NGC 2623
12 02 08 -18 54 40 A244 10.3m NGC 4039
09 45 56 -14 20 23 A245 12.2m NGC 2992
00 07 08 +08 21 40 A246 14.3m NGC 7838
08 23 50 +21 19 01 A247 14.7m UGC 04383
11 46 59 -03 51 40 A248 14.1m MCG-01-30-33
00 00 34 +23 00 40 A249 16.2m UGC 12891
07 36 19 +35 21 19 A250 15.0m IRASF07327+3529
00 54 01 -13 49 23 A251 15.5m VV 674
09 45 12 -19 44 23 A252 15.3m ESO 566-IG007
09 43 45 -05 17 23 A253 14.3m UGCA 174
15 21 48 -07 23 04 A254 14.5m NGC 5917
09 53 24 +07 50 35 A255 14.3m UGC 05304
00 19 05 -10 19 20 A256 13.6m MCG-02-01-52
08 51 53 -02 22 08 A257 15.0m UGC 04638
02 39 21 +18 24 17 A258 14.6m Hickson 18D
05 01 52 -04 14 35 A259 13.3m NGC 1741
12 13 53 +16 05 20 A260 14.8m UGC 07230
14 49 46 -10 11 14 A261 13.4m MCG-02-38-016
23 56 59 +16 49 40 A262 13.2m UGC 12856
10 25 21 +17 07 28 A263 11.4m NGC 3239
10 04 15 +40 43 32 A264 13.1m NGC 3104
12 54 07 +36 03 23 A265 16.0m IC 3862
12 59 15 +34 49 23 A266 12.3m NGC 4861
10 36 59 +31 30 26 A267 14.7m UGC 05764
08 19 37 +70 41 03 A268 10.7m Holmberg II
12 30 51 +41 36 21 A269 9.8 m NGC 4490
11 21 19 +53 08 21 A270 10.4m NGC 3631
14 03 41 -06 02 26 A271 11.4m NGC 5427
16 05 43 +17 45 12 A272 15.2m NGC 6054
02 21 47 +39 23 22 A273 13.7m UGC 01810
14 35 20 +05 18 42 A274 13.0m NGC 5679
09 26 08 -12 00 18 A275 13.3m NGC 2881
02 28 27 +19 36 20 A276 12.9m NGC 0935
12 55 06 +02 36 23 A277 13.0m NGC 4810
22 19 40 +29 24 31 A278 13.6m NGC 7253A
03 14 24 -02 47 54 A279 11.7m NGC 1253
11 38 00 +47 51 20 A280 11.8m NGC 3769
12 42 20 +32 30 21 A281 9.3 m NGC 4631
00 37 08 +24 00 39 A282 12.4m NGC 0169
09 17 41 +41 57 44 A283 12.3m NGC 2798
23 36 29 +02 10 40 A284 12.5m NGC 7714
09 24 22 +49 10 42 A285 13.0m NGC 2854
14 20 35 +03 53 38 A286 10.5m NGC 5566
09 02 56 +25 54 48 A287 13.3m NGC 2735
13 35 11 +13 47 28 A288 13.0m NGC 5221
11 56 22 -19 54 40 A289 11.0m NGC 3981
02 04 06 +14 45 26 A290 14.2m IC 0196
10 43 04 +13 25 25 A291 13.7m UGC 05832
09 54 48 -06 52 26 A292 13.2m IC 0575
16 58 36 +58 55 33 A293 13.3m NGC 6286
11 39 58 +31 52 20 A294 12.3m NGC 3786
23 42 02 -03 38 20 A295 14.5m MCG-01-60-021
11 29 06 +58 33 21 A296 15.7m MCG+10-17-5
14 45 31 +38 41 45 A297 13.1m NGC 5754
23 03 30 +08 53 37 A298 12.3m NGC 7469
11 28 54 +58 31 21 A299 11.3m IC 0694
11 28 50 +58 31 21 A299 11.5m NGC 3690
09 28 28 +68 23 41 A300 13.4m UGC 05029
11 10 07 +24 13 22 A301 14.5m UGC 06204
14 57 14 +24 35 48 A302 14.6m UGC 09618
09 46 37 +03 02 36 A303 14.1m IC 0564
03 11 29 -08 53 53 A304 12.0m NGC 1241
11 59 00 +27 25 20 A305 12.2m NGC 4017
01 32 57 +04 39 32 A306 14.5m UGC 01105
09 25 58 +11 23 42 A307 11.9m NGC 2872
01 26 14 -01 18 27 A308 12.2m NGC 0545
02 29 25 -10 48 40 A309 11.2m NGC 0942
17 27 31 +58 29 46 A310 15.0m IC 1259
17 27 22 +58 28 46 A311 14.4m IC 1258
16 49 57 +46 42 30 A312 14.1m MCG+08-31-004
11 57 59 +32 15 20 A313 12.4m NGC 3995
22 58 16 -03 44 23 A314 13.7m MCG-01-58-009
09 20 04 +33 42 43 A315 11.9m NGC 2832
10 18 42 +21 51 29 A316 10.9m NGC 3193
11 19 11 +13 03 21 A317 9.3 m MESSIER 65
02 09 39 -10 06 35 A318 12.1m NGC 0835
22 36 18 +33 57 34 A319 12.6m NGC 7320
11 38 09 +21 56 20 A320 13.6m NGC 3753
09 39 08 -04 52 22 A321 13.8m MCG-01-25-009
11 32 56 +52 55 20 A322 15.0m UGC 06527
23 54 25 +00 23 40 A323 13.0m NGC 7783
16 02 31 +15 57 11 A324 14.2m UGC 10143A
22 06 41 -21 02 32 A325 16.1m ESO 601- G 018
13 37 33 +06 26 29 A326 15.4m UGC 08610
05 22 01 +06 41 17 A327 13.6m NGC 1875
14 48 10 +18 59 46 A328 15.8m UGC 09532
11 32 24 +70 46 21 A329 15.9m UGC 06514
16 49 14 +53 24 29 A330 I Zw 167
01 07 41 +32 25 36 A331 11.9m NGC 0383
03 08 24 -22 53 52 A332 13.2m NGC 1228
02 39 28 +10 51 17 A333 12.1m NGC 1024
13 30 39 +31 35 27 A334 13.6m UGC 08498
11 04 39 +04 47 23 A335 12.7m NGC 3509
08 55 58 +58 42 51 A336 11.2m NGC 2685
09 56 16 +69 38 34 A337 8.4 m MESSIER 82
10 11 14 -07 55 29 A338 0 Arp 338
