05 33 39 -00 36 48 IC0423_DN
05 37 03 -00 14 50 IC0426_DN
05 38 45 -07 04 51 IC0430_DN
05 40 33 -01 26 51 IC0431_DN
05 41 09 -01 28 52 IC0432_DN
05 41 15 -02 23 52 IC0434_DN
05 43 15 -02 18 53 IC0435_DN
05 53 13 -17 52 57 IC0438_GL
06 17 12 +22 46 53 IC0443_DN
06 20 42 +23 15 51 IC0444_DN
06 31 17 +10 26 46 IC0446_DN
06 32 58 +07 18 46 IC0448_DN
06 46 17 +71 20 40 IC0449_GL
06 52 51 +74 25 37 IC0450_GL
06 53 33 +74 28 37 IC0451_GL
07 00 30 -30 10 26 IC0456_GL
07 08 51 -04 19 30 IC0466_DN
07 30 50 +79 51 22 IC0467_GL
07 17 44 -13 09 33 IC0468_DN
07 57 24 +85 09 11 IC0469_GL
08 06 00 +26 09 08 IC0492_GL
08 32 18 +23 58 58 IC0509_GL
08 41 21 +73 27 55 IC0511_GL
09 05 14 +85 28 48 IC0512_GL
08 54 14 +73 27 51 IC0520_GL
09 19 00 +73 44 44 IC0529_GL
09 27 41 +22 59 41 IC0538_GL
09 31 08 -14 45 20 IC0543_GL
09 36 27 -12 26 21 IC0547_GL
09 46 21 -03 59 24 IC0562_GL
09 46 34 +03 01 36 IC0563_GL
09 46 40 +03 02 36 IC0564_GL
10 17 27 -03 31 30 IC0600_GL
10 18 34 +07 01 29 IC0602_GL
10 26 46 +20 12 28 IC0610_GL
10 36 33 -08 22 34 IC0624_GL
10 37 14 -27 35 34 IC0629_GL
10 38 45 -07 11 34 IC0630_GL
10 51 15 -02 09 36 IC0651_GL
10 54 39 -00 23 36 IC0655_DN
11 12 58 +09 02 22 IC0676_GL
11 28 47 +58 32 21 IC0694_GL
11 31 04 +20 26 21 IC0701_GL
11 35 04 +49 02 20 IC0712_GL
11 50 52 +55 19 20 IC0740_GL
11 58 51 +42 42 20 IC0749_GL
11 59 09 +42 41 20 IC0750_GL
11 59 09 +42 32 20 IC0751_GL
12 01 27 +14 04 20 IC0755_GL
12 03 39 +52 37 20 IC0757_OC
12 04 27 +62 28 20 IC0758_GL
12 06 09 -29 19 40 IC0760_GL
12 10 28 -29 45 40 IC0764_GL
12 12 45 +12 05 20 IC0769_GL
